time,year,month_no,total_traffic,total_passengers,total_mail
1980-01,1980,01,6501,566879,619
1980-02,1980,02,6112,552263,593
1980-03,1980,03,6391,597644,642
1980-04,1980,04,6247,561218,642
1980-05,1980,05,6301,587003,646
1980-06,1980,06,6094,594860,633
1980-07,1980,07,6279,618380,668
1980-08,1980,08,6553,684907,640
1980-09,1980,09,6245,585076,653
1980-10,1980,10,6461,611995,716
1980-11,1980,11,6326,640824,728
1980-12,1980,12,6461,693500,872
1981-01,1981,01,6294,630711,685
1981-02,1981,02,5784,619577,629
1981-03,1981,03,6258,645765,760
1981-04,1981,04,5752,629547,667
1981-05,1981,05,5872,627592,704
1981-06,1981,06,5757,674922,665
1981-07,1981,07,6009,706279,752
1981-08,1981,08,6069,774005,666
1981-09,1981,09,5849,665399,689
1981-10,1981,10,5944,688913,717
1981-11,1981,11,5755,716405,711
1981-12,1981,12,6022,773043,890
1982-01,1982,01,5958,729142,616
1982-02,1982,02,5375,636075,607
1982-03,1982,03,5921,693735,704
1982-04,1982,04,5638,667589,659
1982-05,1982,05,5590,675233,686
1982-06,1982,06,5545,731708,675
1982-07,1982,07,5738,762582,696
1982-08,1982,08,5777,794148,650
1982-09,1982,09,5641,700226,660
1982-10,1982,10,5754,707962,723
1982-11,1982,11,5457,731550,733
1982-12,1982,12,5765,781862,920
1983-01,1983,01,5671,686749,649
1983-02,1983,02,5282,655858,593
1983-03,1983,03,5649,697684,723
1983-04,1983,04,5484,667350,713
1983-05,1983,05,5685,701404,722
1983-06,1983,06,5498,737906,732
1983-07,1983,07,5658,742363,747
1983-08,1983,08,5828,795479,732
1983-09,1983,09,5674,723604,787
1983-10,1983,10,5815,716388,813
1983-11,1983,11,5556,724244,776
1983-12,1983,12,5794,830123,1043
1984-01,1984,01,5746,734069,786
1984-02,1984,02,5512,706296,650
1984-03,1984,03,5795,720520,770
1984-04,1984,04,5702,762504,724
1984-05,1984,05,5932,779161,749
1984-06,1984,06,5875,803912,758
1984-07,1984,07,5998,810193,762
1984-08,1984,08,6112,880911,750
1984-09,1984,09,5902,790793,723
1984-10,1984,10,5988,787115,786
1984-11,1984,11,5925,790133,831
1984-12,1984,12,6187,900044,997
1985-01,1985,01,6108,768508,763
1985-02,1985,02,5688,751999,762
1985-03,1985,03,6181,834356,837
1985-04,1985,04,6061,784903,844
1985-05,1985,05,6157,775913,942
1985-06,1985,06,6104,877773,827
1985-07,1985,07,6147,836088,845
1985-08,1985,08,6374,907057,882
1985-09,1985,09,6139,798452,832
