month,month_no,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2010-01,01,1,1,1152,1145,1342,18502
2010-01,01,1,2,687,679,883,19190
2010-01,01,1,3,173,173,265,19001
2010-01,01,1,4,373,365,509,889
2010-01,01,1,5,586,567,1011,19889
2010-01,01,2,1,1151,1149,1673,20501
2010-01,01,2,2,717,717,1105,22400
2010-01,01,2,3,181,173,280,20090
2010-01,01,2,4,378,378,551,852
2010-01,01,2,5,588,579,1322,21899
2010-02,02,1,1,1154,1153,1326,19989
2010-02,02,1,2,693,690,930,23180
2010-02,02,1,3,165,162,250,21390
2010-02,02,1,4,371,349,525,852
2010-02,02,1,5,601,596,1069,22401
2010-02,02,2,1,1148,1148,1493,20340
2010-02,02,2,2,685,658,956,23889
2010-02,02,2,3,173,170,285,23501
2010-02,02,2,4,363,355,472,1001
2010-02,02,2,5,590,587,1255,24229
2010-03,03,1,1,1148,1141,1758,20802
2010-03,03,1,2,688,667,1087,26389
2010-03,03,1,3,168,164,257,27001
2010-03,03,1,4,385,383,467,1159
2010-03,03,1,5,587,575,1184,27590
2010-03,03,2,1,1146,1137,2183,28389
2010-03,03,2,2,711,699,1207,36089
2010-03,03,2,3,168,141,341,32890
2010-03,03,2,4,371,368,495,1200
2010-03,03,2,5,584,554,1507,42001
2010-04,04,1,1,705,597,1379,34001
2010-04,04,1,2,571,571,858,45501
2010-04,04,1,3,180,167,329,36511
2010-04,04,1,4,338,334,409,1221
2010-04,04,1,5,372,328,856,49000
2010-04,04,2,1,706,704,1242,30000
2010-04,04,2,2,561,549,896,40001
2010-04,04,2,3,203,203,298,35556
2010-04,04,2,4,339,311,383,1253
2010-04,04,2,5,390,383,709,43003
2010-05,05,1,1,806,798,1294,26102
2010-05,05,1,2,550,547,869,38000
2010-05,05,1,3,189,187,329,32501
2010-05,05,1,4,340,317,415,1252
2010-05,05,1,5,404,403,857,39002
2010-05,05,2,1,699,697,1036,27389
2010-05,05,2,2,561,553,715,34600
2010-05,05,2,3,176,170,296,29389
2010-05,05,2,4,364,360,468,1312
2010-05,05,2,5,367,365,608,39000
2010-06,06,1,1,706,704,1107,30051
2010-06,06,1,2,553,546,779,40002
2010-06,06,1,3,178,177,273,30189
2010-06,06,1,4,359,344,504,1452
2010-06,06,1,5,361,322,639,41000
2010-06,06,2,1,699,697,902,31510
2010-06,06,2,2,557,554,720,39911
2010-06,06,2,3,182,175,253,31689
2010-06,06,2,4,340,339,376,1454
2010-06,06,2,5,362,359,682,41006
2010-07,07,1,1,700,676,893,29501
2010-07,07,1,2,557,557,671,35909
2010-07,07,1,3,177,176,277,31389
2010-07,07,1,4,351,347,476,1320
2010-07,07,1,5,399,399,660,41010
2010-07,07,2,1,699,691,967,36162
2010-07,07,2,2,552,548,890,42889
2010-07,07,2,3,183,182,285,30601
2010-07,07,2,4,337,334,372,1290
2010-07,07,2,5,363,357,725,43565
2010-08,08,1,1,622,589,786,32104
2010-08,08,1,2,479,479,662,43334
2010-08,08,1,3,205,205,284,30112
2010-08,08,1,4,336,326,384,1301
2010-08,08,1,5,309,308,594,42901
2010-08,08,2,1,606,606,975,29000
2010-08,08,2,2,482,472,683,42810
2010-08,08,2,3,206,205,275,30002
2010-08,08,2,4,335,330,369,1251
2010-08,08,2,5,315,315,583,43501
2010-09,09,1,1,631,628,775,33089
2010-09,09,1,2,479,479,757,44129
2010-09,09,1,3,204,190,291,33000
2010-09,09,1,4,342,329,453,1502
2010-09,09,1,5,310,308,460,44001
2010-09,09,2,1,597,547,993,30001
2010-09,09,2,2,488,488,648,42501
2010-09,09,2,3,206,201,271,31001
2010-09,09,2,4,338,337,364,1452
2010-09,09,2,5,309,307,520,43290
2010-10,10,1,1,601,601,722,33132
2010-10,10,1,2,479,476,630,42801
2010-10,10,1,3,218,217,287,30889
2010-10,10,1,4,345,320,422,1502
2010-10,10,1,5,311,304,518,44090
2010-10,10,2,1,647,647,817,32415
2010-10,10,2,2,479,478,766,44600
2010-10,10,2,3,210,210,287,30511
2010-10,10,2,4,333,304,430,1689
2010-10,10,2,5,311,287,455,44900
2010-11,11,1,1,598,598,843,34001
2010-11,11,1,2,482,482,718,45501
2010-11,11,1,3,205,201,270,31006
2010-11,11,1,4,357,352,414,1452
2010-11,11,1,5,316,312,497,46001
2010-11,11,2,1,597,577,833,39000
2010-11,11,2,2,480,459,709,47890
2010-11,11,2,3,205,202,241,31202
2010-11,11,2,4,361,324,424,1502
2010-11,11,2,5,333,332,634,49890
2010-12,12,1,1,598,582,1020,47604
2010-12,12,1,2,479,477,1034,62502
2010-12,12,1,3,208,207,294,32001
2010-12,12,1,4,337,329,410,1701
2010-12,12,1,5,313,313,674,64900
2010-12,12,2,1,617,607,755,46129
2010-12,12,2,2,499,494,872,72001
2010-12,12,2,3,208,205,300,33501
2010-12,12,2,4,369,362,406,1551
2010-12,12,2,5,311,302,463,76102
2011-01,01,1,1,614,602,1192,38889
2011-01,01,1,2,481,474,790,69000
2011-01,01,1,3,205,205,294,35111
2011-01,01,1,4,340,337,398,1503
2011-01,01,1,5,309,305,475,75789
2011-01,01,2,1,607,606,1091,40123
2011-01,01,2,2,483,482,700,58910
2011-01,01,2,3,207,196,272,30000
2011-01,01,2,4,339,335,458,1690
2011-01,01,2,5,319,312,433,67009
2011-02,02,1,1,523,501,1146,37124
2011-02,02,1,2,431,431,640,53400
2011-02,02,1,3,275,275,356,28589
2011-02,02,1,4,328,328,417,1819
2011-02,02,1,5,333,326,648,58890
2011-02,02,2,1,511,494,788,42999
2011-02,02,2,2,424,423,726,62000
2011-02,02,2,3,287,282,368,29011
2011-02,02,2,4,330,294,461,2001
2011-02,02,2,5,336,335,558,62001
2011-03,03,1,1,532,530,875,42600
2011-03,03,1,2,424,423,667,61894
2011-03,03,1,3,276,276,360,30001
2011-03,03,1,4,325,310,490,2604
2011-03,03,1,5,336,324,574,62010
2011-03,03,2,1,527,472,927,43813
2011-03,03,2,2,424,424,579,57002
2011-03,03,2,3,281,279,371,29690
2011-03,03,2,4,362,362,429,2534
2011-03,03,2,5,330,330,458,59073
2011-04,04,1,1,512,511,813,43212
2011-04,04,1,2,425,410,542,55001
2011-04,04,1,3,276,275,316,28189
2011-04,04,1,4,340,335,500,2490
2011-04,04,1,5,341,340,454,57100
2011-04,04,2,1,565,552,964,44000
2011-04,04,2,2,423,422,627,56801
