id,year,month,date,lease_commence_date,remaining_lease,remaining_lease_months
1,2017,1,2017-01,1979,61 years 04 months,732
2,2017,1,2017-01,1978,60 years 07 months,720
3,2017,1,2017-01,1980,62 years 05 months,744
4,2017,1,2017-01,1980,62 years 01 month,744
5,2017,1,2017-01,1980,62 years 05 months,744
6,2017,1,2017-01,1981,63 years,756
7,2017,1,2017-01,1979,61 years 06 months,732
8,2017,1,2017-01,1976,58 years 04 months,696
9,2017,1,2017-01,1979,61 years 06 months,732
10,2017,1,2017-01,1979,61 years 04 months,732
11,2017,1,2017-01,1980,62 years 01 month,744
12,2017,1,2017-01,1977,59 years 08 months,708
13,2017,1,2017-01,1977,59 years 08 months,708
14,2017,1,2017-01,1977,59 years 06 months,708
15,2017,1,2017-01,1980,62 years 01 month,744
16,2017,1,2017-01,1978,60 years,720
17,2017,1,2017-01,1979,61 years 04 months,732
18,2017,1,2017-01,1980,62 years 08 months,744
19,2017,1,2017-01,1979,61 years,732
20,2017,1,2017-01,1980,62 years 08 months,744
21,2017,1,2017-01,1978,60 years 10 months,720
22,2017,1,2017-01,1977,59 years 06 months,708
23,2017,1,2017-01,1979,61 years,732
24,2017,1,2017-01,1977,59 years 03 months,708
25,2017,1,2017-01,1979,61 years 05 months,732
26,2017,1,2017-01,1978,60 years 04 months,720
27,2017,1,2017-01,1981,63 years,756
28,2017,1,2017-01,1977,59 years 06 months,708
29,2017,1,2017-01,1981,63 years,756
30,2017,1,2017-01,1980,62 years,744
31,2017,1,2017-01,1978,60 years 03 months,720
32,2017,1,2017-01,1980,62 years,744
33,2017,1,2017-01,1980,62 years 05 months,744
34,2017,1,2017-01,1979,61 years 06 months,732
35,2017,1,2017-01,1979,61 years 06 months,732
36,2017,1,2017-01,1981,63 years 09 months,756
37,2017,1,2017-01,1981,63 years,756
38,2017,1,2017-01,1979,61 years 01 month,732
39,2017,1,2017-01,1977,59 years 06 months,708
40,2017,1,2017-01,1979,61 years 10 months,732
41,2017,1,2017-01,1980,62 years 05 months,744
42,2017,1,2017-01,1980,62 years 01 month,744
43,2017,1,2017-01,1976,58 years 06 months,696
44,2017,1,2017-01,1977,59 years 04 months,708
45,2017,1,2017-01,1980,62 years 11 months,744
46,2017,1,2017-01,1978,60 years 08 months,720
47,2017,1,2017-01,2011,93 years 08 months,1116
48,2017,1,2017-01,2011,93 years 07 months,1116
49,2017,1,2017-01,2011,93 years 07 months,1116
50,2017,1,2017-01,1978,60 years 01 month,720
51,2017,1,2017-01,1979,61 years,732
52,2017,1,2017-01,1980,62 years 08 months,744
53,2017,1,2017-01,1980,62 years 05 months,744
54,2017,1,2017-01,2011,93 years 07 months,1116
55,2017,1,2017-01,2012,94 years 08 months,1128
56,2017,1,2017-01,1996,78 years 04 months,936
57,2017,1,2017-01,1978,60 years 06 months,720
58,2017,1,2017-01,1980,62 years 06 months,744
59,2017,1,2017-01,1978,60 years,720
60,2017,1,2017-01,1980,62 years 05 months,744
61,2017,1,2017-01,1976,58 years,696
62,2017,1,2017-01,1988,70 years 08 months,840
63,2017,1,2017-01,1981,63 years 04 months,756
64,2017,1,2017-01,1981,63 years 06 months,756
65,2017,1,2017-01,1985,67 years 07 months,804
66,2017,1,2017-01,1979,61 years 07 months,732
67,2017,1,2017-01,1986,68 years 02 months,816
68,2017,1,2017-01,1980,62 years 06 months,744
69,2017,1,2017-01,1986,68 years 03 months,816
70,2017,1,2017-01,1986,68 years 02 months,816
